,price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
8166,9.392661928770137,1.9459101490553132,11.512925464970229,Sirius,9.934743942186682,Nhật Bản,3,Bình Dương,94.25
8168,9.798127036878302,2.0794415416798357,11.002099841204238,Raider,10.79117302739995,Nước khác,1,TP. Hồ Chí Minh,98.44
8169,9.464982590349763,1.9459101490553132,9.210340371976184,Exciter,10.834863921828324,Việt Nam,1,TP. Hồ Chí Minh,98.44
8170,9.51044496442652,2.1972245773362196,10.819778284410283,Future,10.371614421769003,Việt Nam,1,TP. Hồ Chí Minh,98.44
8171,9.615805480084347,2.0794415416798357,10.46310334047155,Exciter,10.834863921828324,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8173,9.457200449907708,2.1972245773362196,10.545341438708522,Wave,9.975342989636557,Việt Nam,1,Bình Dương,94.25
8174,9.305650551780507,1.3862943611198906,9.546812608597396,Sirius,9.934743942186682,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8175,8.242756345714477,2.3978952727983707,11.512925464970229,Sirius,9.934743942186682,Đài Loan,2,TP. Hồ Chí Minh,98.44
8177,9.711115659888671,0.0,7.783224016336037,Wave,9.975342989636557,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8178,9.392661928770137,2.995732273553991,11.366650357912595,Wave,9.975342989636557,Nhật Bản,3,Thái Bình,90.33
8179,8.779557455883728,2.70805020110221,10.915088464214607,Wave,9.975342989636557,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8180,9.392661928770137,2.833213344056216,13.044581279293153,Sirius,9.934743942186682,Nhật Bản,3,Bến Tre,85.93
8182,9.786953736280177,2.3978952727983707,10.126631103850338,Air Blade,10.826555268689306,Thái Lan,2,TP. Hồ Chí Minh,98.44
8191,8.732304571033183,2.6390573296152584,10.126631103850338,Liberty,10.975071168816319,Đức,3,TP. Hồ Chí Minh,98.44
8192,10.043249494911286,1.0986122886681098,9.492507263739853,Vision,10.451319901931214,Việt Nam,1,TP. Hồ Chí Minh,98.44
8194,9.104979856318357,2.302585092994046,10.46310334047155,Wave,9.975342989636557,Việt Nam,1,Lâm Đồng,92.96
8195,10.239959789157341,1.6094379124341003,10.799575577092764,Vario,10.77874793485229,Đang cập nhật,1,Bình Dương,94.25
8198,10.747207591575448,2.0794415416798357,12.611537753638338,Vario,10.77874793485229,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8199,8.85366542803745,2.6390573296152584,9.615805480084347,Wave,9.975342989636557,Việt Nam,1,TP. Hồ Chí Minh,98.44
8200,9.047821442478408,2.9444389791664403,9.615805480084347,Wave,9.975342989636557,Việt Nam,1,TP. Hồ Chí Minh,98.44
8203,9.159047077588632,2.6390573296152584,10.911974530041006,Wave,9.975342989636557,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8204,10.685103381083682,1.6094379124341003,8.699514748210191,SH Mode,11.02825479868109,Việt Nam,1,TP. Hồ Chí Minh,98.44
8205,10.308952660644293,1.9459101490553132,10.858998997563564,Vario,10.77874793485229,Nước khác,1,TP. Hồ Chí Minh,98.44
8207,9.093806555720231,2.1972245773362196,10.714417768752456,Nouvo,10.46310334047155,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8208,10.915088464214607,1.3862943611198906,10.203592144986466,SH,11.6952282715884,Việt Nam,1,TP. Hồ Chí Minh,98.44
8211,10.757902880692196,2.0794415416798357,8.644354337032917,Vario,10.77874793485229,Đang cập nhật,1,An Giang,91.92
8212,9.047821442478408,2.4849066497880004,10.404262840448617,Sirius,9.934743942186682,Việt Nam,1,TP. Hồ Chí Minh,98.44
8214,8.794824928014517,2.772588722239781,10.126631103850338,Air Blade,10.826555268689306,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8215,9.472704636443673,2.995732273553991,8.517193191416238,Wave,9.975342989636557,Việt Nam,1,TP. Hồ Chí Minh,98.44
8217,8.881836305004146,2.70805020110221,10.819778284410283,Lead,10.677984278792396,Việt Nam,1,Hà Nội,100.0
8221,9.104979856318357,2.4849066497880004,6.907755278982137,Wave,9.975342989636557,Nhật Bản,3,TP. Hồ Chí Minh,98.44
